"","ID","Min_XY_centroid_dist","Min_XYZ_centroid_dist"
"1",6,0.326996821977045,0.156871858628527
"2",7,0.326996821977045,0.156871858628527
"3",10,0.125683201142372,0.915944876756043
"4",11,0.125683201142372,0.335475297821957
"5",12,0.882309942917957,0.335475297821957
"6",14,0.797305149510498,0.397999143441705
"7",17,0.797305149510498,0.939645121658743
"8",18,1.20511167082256,0.939645121658743
"9",19,0.922097359655451,1.13634179262349
"10",21,0.922097359655451,1.13634179262349
"11",23,0.537539825896027,0.915944876756043
"12",24,0.537539825896027,0.397999143441705
"13",26,0.78017737501324,0.92301136540832
"14",32,0.853684685865576,1.11738650242367
"15",34,0.853684685865576,0.631909205992982
"16",36,0.136024667376486,0.631909205992982
"17",37,0.136024667376486,1.54586209023611
"18",38,1.5861949382233,0.711811170562622
"19",39,1.18547645196989,0.711811170562622
"20",42,1.18547645196989,0.610120868161031
"21",43,0.796981877494132,0.271161447545063
"22",45,0.796981877494132,0.271161447545063
"23",48,0.597408235464794,0.610120868161031
"24",49,0.597408235464794,1.35819230160824
"25",52,0.497155770314179,0.334276157783087
"26",53,0.497155770314179,0.823897705774481
"27",54,0.363912669130199,0.334276157783087
"28",55,0.363912669130199,0.823897705774481
"29",56,1.20722793975815,0.861884903371382
